id,pdga_number,first_name,last_name,city,state,country,nationality,member_since
758,63113,Jordan,Brooker,Walnut Creek,CA,US,NULL,2014
760,63339,Janne,Mönkkönen,Kuopio,,FI,NULL,2014
761,63343,Raimo,Sokka,Porvoo,,FI,NULL,2014
763,63364,Josh,Coghill,Hernando,MS,US,NULL,2014
764,63399,Erik,Hayworth,Dallas,OR,US,US,2014
765,63411,Casey,Lee,Mapleton,UT,US,NULL,2014
766,63515,Lukas,Klingbeil,Weilbach,,DE,DE,2014
767,64002,Joe,"O'Brien",Newcastle Upon Tyne,,GB,GB,2014
768,64033,Antti,Kotilainen,Kivijärvi,,FI,NULL,2014
769,64082,Josh,Pendleton,East Greenwich,RI,US,NULL,2014
770,64226,Albert,Hytten,København S,,DK,NULL,2014
771,64328,Zac,Coisman,Knoxville,TN,US,NULL,2014
772,64447,Kalevi,Louhivuori,Kulloonkylä,,FI,NULL,2014
773,64833,Adam,Briscoe,Chubbuck,ID,US,NULL,2014
774,64853,Riku,Vink,Helsinki,,FI,NULL,2014
775,64890,Joonatan,Häme,Lahti,,FI,NULL,2014
776,64917,Luukas,Rokkanen,Turku,,FI,NULL,2014
778,65118,Maverick,Robertson,Fort Collins,CO,US,NULL,2014
779,65144,Micah,Funderburgh,Joplin,MO,US,NULL,2014
780,65220,Isaac,Marrs,Terrell,TX,US,NULL,2014
781,65266,Zach,Arlinghaus,Edgewood,KY,US,NULL,2014
784,65471,Garrett,Glass,Houston,TX,US,NULL,2014
785,65488,Alex,Berg,Otsego,MN,US,US,2014
787,65715,Tuomas,Hyytiäinen,Kerava,,FI,NULL,2014
788,65940,Jonathan,Fletcher,Fairbury,NE,US,NULL,2014
789,66168,Steven,Sinclair,Aubrey,TX,US,NULL,2014
790,66276,David,"O'Meara",Indianola,IA,US,NULL,2014
791,66491,Kelly,Kunze,Crystal,MN,US,NULL,2014
793,66631,Toni,Järvenpää,Tampere,,FI,NULL,2014
794,66687,Carlin,Goza,Portage,MI,US,NULL,2014
796,66946,Brendan,Smith,Northfield,NJ,US,NULL,2014
